Description,Amount,Transaction Type,Account Name,Category
Amazon,197.37,credit,Checking,Shopping
Phone Company,65.0,debit,Checking,Utilities & Services
BP,177.45,credit,Checking,Food & Drink
Credit Card Payment,69.7,debit,Checking,Food & Drink
Netflix,58.82,credit,Silver Card,Housing
QuikTrip,140.35,credit,Platinum Card,Transportation
Gas Company,172.37,credit,Platinum Card,Food & Drink
Internet Service Provider,51.15,credit,Checking,Transportation
Greek Restaurant,79.55,credit,Silver Card,Utilities & Services
Credit Card Payment,53.21,credit,Platinum Card,Transportation
Credit Card Payment,172.0,credit,Checking,Shopping
American Tavern,34.52,credit,Checking,Food & Drink
State Farm,52.64,credit,Silver Card,Food & Drink
Credit Card Payment,23.46,credit,Platinum Card,Utilities & Services
Amazon,41.74,debit,Platinum Card,Food & Drink
Credit Card Payment,122.0,debit,Platinum Card,Housing
Brunch Restaurant,120.6,credit,Checking,Shopping
Netflix,65.46,credit,Platinum Card,Transportation
Starbucks,92.63,credit,Silver Card,Shopping
Grocery Store,32.53,credit,Platinum Card,Paycheck
Biweekly Paycheck,2000.0,credit,Checking,Paycheck
Grocery Store,138.41,debit,Checking,Credit Card Payment
Gas Company,30.0,debit,Checking,Utilities & Services
State Farm,2.48,credit,Checking,Food & Drink
Starbucks,178.98,debit,Platinum Card,Food & Drink
American Tavern,71.39,debit,Platinum Card,Utilities & Services
Power Company,85.73,credit,Silver Card,Food & Drink
Brewing Company,39.83,credit,Checking,Credit Card Payment
Grocery Store,183.25,debit,Silver Card,Housing
Mediterranean Restaurant,44.13,credit,Platinum Card,Transportation
Power Company,85.74,debit,Silver Card,Food & Drink
Credit Card Payment,78.19,debit,Silver Card,Credit Card Payment
Grocery Store,58.79,credit,Platinum Card,Credit Card Payment
BP,24.71,debit,Platinum Card,Credit Card Payment
Starbucks,68.34,credit,Silver Card,Food & Drink
Biweekly Paycheck,63.39,credit,Checking,Food & Drink
Power Company,5.93,credit,Platinum Card,Utilities & Services
Barbershop,25.36,credit,Platinum Card,Food & Drink
Mike's Construction Co.,40.76,credit,Silver Card,Transportation
Grocery Store,101.72,credit,Platinum Card,Food & Drink
Gas Company,150.28,credit,Silver Card,Entertainment
City Water Charges,179.54,debit,Checking,Food & Drink
Grocery Store,94.61,debit,Platinum Card,Credit Card Payment
Credit Card Payment,184.58,credit,Platinum Card,Food & Drink
Barbershop,31.11,debit,Platinum Card,Food & Drink
BP,7.41,credit,Silver Card,Food & Drink
Fancy Restaurant,2.45,debit,Platinum Card,Utilities & Services
American Tavern,34.96,credit,Checking,Credit Card Payment
Mortgage Payment,199.75,debit,Checking,Utilities & Services
Barbershop,39.11,credit,Platinum Card,Food & Drink
Amazon,130.76,debit,Platinum Card,Food & Drink
Gas Company,119.39,credit,Platinum Card,Utilities & Services
Credit Card Payment,115.49,credit,Checking,Housing
Mexican Restaurant,58.76,debit,Silver Card,Entertainment
Brewing Company,174.76,credit,Platinum Card,Food & Drink
Starbucks,99.71,debit,Platinum Card,Credit Card Payment
Credit Card Payment,7.82,credit,Silver Card,Food & Drink
Internet Service Provider,196.13,debit,Silver Card,Food & Drink
Grocery Store,37.01,credit,Checking,Utilities & Services
Grocery Store,4.8,debit,Platinum Card,Food & Drink
Hardware Store,172.41,debit,Platinum Card,Credit Card Payment
Hardware Store,52.81,credit,Checking,Haircut
Amazon,13.13,debit,Platinum Card,Shopping
Spotify,76.3,credit,Silver Card,Utilities & Services
Biweekly Paycheck,177.64,credit,Silver Card,Transportation
Biweekly Paycheck,139.55,debit,Platinum Card,Credit Card Payment
Grocery Store,13.9,debit,Platinum Card,Food & Drink
Thai Restaurant,60.58,credit,Checking,Housing
Spotify,10.69,debit,Platinum Card,Entertainment
Movie Theater,41.44,credit,Platinum Card,Utilities & Services
Power Company,18.55,debit,Platinum Card,Food & Drink
Credit Card Payment,137.51,credit,Platinum Card,Credit Card Payment
Starbucks,108.99,credit,Silver Card,Housing
Credit Card Payment,197.52,credit,Silver Card,Credit Card Payment
American Tavern,190.62,credit,Platinum Card,Credit Card Payment
City Water Charges,33.92,credit,Platinum Card,Food & Drink
German Restaurant,27.09,credit,Checking,Food & Drink
City Water Charges,60.77,credit,Silver Card,Food & Drink
Mexican Restaurant,182.72,debit,Platinum Card,Paycheck
City Water Charges,93.01,debit,Checking,Utilities & Services
Wendy's,173.15,credit,Platinum Card,Paycheck
Brewing Company,160.6,credit,Platinum Card,Shopping
Mortgage Payment,40.17,debit,Platinum Card,Utilities & Services
Barbershop,30.0,debit,Platinum Card,Haircut
Amazon,10.96,debit,Checking,Credit Card Payment
Power Company,162.1,credit,Checking,Housing
American Tavern,69.49,debit,Platinum Card,Food & Drink
Credit Card Payment,144.71,credit,Platinum Card,Transportation
American Tavern,167.64,credit,Checking,Credit Card Payment
Spotify,52.55,credit,Checking,Transportation
Biweekly Paycheck,154.52,debit,Silver Card,Entertainment
Grocery Store,190.92,debit,Checking,Paycheck
Belgian Restaurant,115.63,debit,Platinum Card,Transportation
Greek Restaurant,23.26,debit,Platinum Card,Food & Drink
Credit Card Payment,66.88,credit,Silver Card,Housing
Power Company,124.13,debit,Checking,Food & Drink
Mortgage Payment,199.71,credit,Checking,Transportation
Shell,157.37,credit,Silver Card,Food & Drink
Power Company,60.0,debit,Checking,Utilities & Services
Credit Card Payment,52.9,debit,Platinum Card,Food & Drink
Brewing Company,179.61,credit,Platinum Card,Food & Drink
American Tavern,87.85,debit,Platinum Card,Food & Drink
Netflix,22.17,debit,Checking,Haircut
Grocery Store,147.71,credit,Platinum Card,Transportation
Biweekly Paycheck,142.62,credit,Silver Card,Shopping
Grocery Store,46.44,debit,Platinum Card,Food & Drink
Grocery Store,165.67,credit,Checking,Utilities & Services
Biweekly Paycheck,173.96,credit,Platinum Card,Credit Card Payment
Biweekly Paycheck,36.44,debit,Platinum Card,Credit Card Payment
Shell,121.84,debit,Platinum Card,Entertainment
Spotify,114.24,debit,Platinum Card,Shopping
Thai Restaurant,56.42,debit,Platinum Card,Housing
Power Company,116.72,debit,Platinum Card,Utilities & Services
Grocery Store,8.8,debit,Platinum Card,Food & Drink
Brewing Company,165.52,credit,Silver Card,Food & Drink
Grocery Store,179.38,debit,Checking,Shopping
American Tavern,162.42,credit,Silver Card,Shopping
Grocery Store,41.6,credit,Silver Card,Transportation
BP,130.65,debit,Platinum Card,Food & Drink
Credit Card Payment,175.92,debit,Checking,Food & Drink
Grocery Store,30.33,debit,Checking,Food & Drink
Amazon,17.15,credit,Silver Card,Credit Card Payment
Grocery Store,69.5,debit,Platinum Card,Shopping
Credit Card Payment,123.47,credit,Checking,Food & Drink
Credit Card Payment,114.82,debit,Platinum Card,Housing
Grocery Store,94.51,credit,Platinum Card,Food & Drink
Grocery Store,5.64,debit,Platinum Card,Food & Drink
Starbucks,74.83,debit,Checking,Food & Drink
Grocery Store,184.72,debit,Platinum Card,Food & Drink
Starbucks,145.58,debit,Silver Card,Credit Card Payment
Amazon,73.51,credit,Checking,Credit Card Payment
Phone Company,87.76,credit,Silver Card,Transportation
Barbershop,30.0,debit,Platinum Card,Haircut
Credit Card Payment,100.26,debit,Platinum Card,Utilities & Services
Gas Company,71.66,credit,Platinum Card,Food & Drink
Credit Card Payment,164.49,credit,Platinum Card,Food & Drink
Grocery Store,179.07,credit,Platinum Card,Shopping
Netflix,115.76,credit,Platinum Card,Food & Drink
Spotify,148.56,credit,Platinum Card,Paycheck
Credit Card Payment,142.55,credit,Platinum Card,Utilities & Services
Credit Card Payment,98.63,credit,Platinum Card,Credit Card Payment
Biweekly Paycheck,184.01,debit,Platinum Card,Credit Card Payment
Brunch Restaurant,142.09,credit,Platinum Card,Food & Drink
Starbucks,122.44,credit,Checking,Credit Card Payment
Gas Company,15.62,debit,Silver Card,Entertainment
Grocery Store,186.47,credit,Silver Card,Housing
Phone Company,65.0,debit,Checking,Utilities & Services
Credit Card Payment,81.16,credit,Checking,Credit Card Payment
City Water Charges,31.6,credit,Platinum Card,Entertainment
Thai Restaurant,38.57,credit,Platinum Card,Food & Drink
Power Company,114.01,credit,Platinum Card,Utilities & Services
Credit Card Payment,156.93,credit,Silver Card,Food & Drink
Credit Card Payment,84.7,credit,Platinum Card,Food & Drink
Gas Company,47.1,debit,Platinum Card,Shopping
Credit Card Payment,153.89,debit,Silver Card,Paycheck
BP,189.89,credit,Checking,Food & Drink
Power Company,2.71,debit,Checking,Credit Card Payment
Amazon Video,145.03,credit,Silver Card,Food & Drink
Grocery Store,177.04,credit,Silver Card,Credit Card Payment
Barbershop,142.05,debit,Platinum Card,Utilities & Services
State Farm,25.83,credit,Platinum Card,Haircut
BP,131.45,credit,Platinum Card,Paycheck
Hardware Store,14.89,credit,Platinum Card,Shopping
Grocery Store,28.35,debit,Platinum Card,Utilities & Services
Shell,135.85,debit,Checking,Paycheck
Hardware Store,68.03,credit,Platinum Card,Food & Drink
Belgian Restaurant,10.3,debit,Silver Card,Food & Drink
Grocery Store,125.64,credit,Platinum Card,Credit Card Payment
Brewing Company,93.08,credit,Platinum Card,Food & Drink
Biweekly Paycheck,13.03,credit,Checking,Food & Drink
Sushi Restaurant,169.47,credit,Silver Card,Housing
Amazon,27.37,debit,Platinum Card,Shopping
Hardware Store,142.87,credit,Platinum Card,Utilities & Services
Starbucks,98.41,credit,Checking,Transportation
Grocery Store,24.41,credit,Checking,Food & Drink
Bojangles,79.24,credit,Platinum Card,Credit Card Payment
American Tavern,148.69,debit,Silver Card,Food & Drink
Thai Restaurant,27.47,debit,Platinum Card,Food & Drink
Spotify,17.74,credit,Checking,Paycheck
City Water Charges,69.84,debit,Platinum Card,Food & Drink
Credit Card Payment,134.0,credit,Platinum Card,Food & Drink
Thai Restaurant,104.38,credit,Checking,Food & Drink
QuikTrip,59.09,credit,Checking,Food & Drink
Grocery Store,190.35,debit,Silver Card,Transportation
Phone Company,121.42,credit,Checking,Paycheck
Credit Card Payment,76.85,debit,Silver Card,Food & Drink
Latin Restaurant,30.26,debit,Checking,Housing
Mediterranean Restaurant,92.62,credit,Checking,Food & Drink
Grocery Store,51.9,debit,Silver Card,Food & Drink
Barbershop,30.0,debit,Silver Card,Haircut
Amazon,109.09,credit,Platinum Card,Housing
Belgian Restaurant,166.14,credit,Silver Card,Shopping
Belgian Restaurant,175.66,credit,Platinum Card,Transportation
American Tavern,112.48,credit,Platinum Card,Food & Drink
Power Company,111.23,debit,Checking,Entertainment
Japanese Restaurant,76.41,debit,Checking,Transportation
Grocery Store,5.64,debit,Silver Card,Food & Drink
Grocery Store,172.74,debit,Platinum Card,Credit Card Payment
Barbershop,158.27,debit,Silver Card,Credit Card Payment
Grocery Store,170.07,debit,Platinum Card,Transportation
Brunch Restaurant,126.97,credit,Checking,Food & Drink
Credit Card Payment,189.03,debit,Checking,Transportation
Credit Card Payment,61.55,credit,Platinum Card,Utilities & Services
Brunch Restaurant,24.67,credit,Checking,Shopping
Italian Restaurant,160.12,credit,Platinum Card,Transportation
Grocery Store,155.79,credit,Platinum Card,Credit Card Payment
Seafood Restaurant,36.72,debit,Checking,Utilities & Services
Internet Service Provider,48.59,debit,Platinum Card,Utilities & Services
Netflix,158.49,credit,Silver Card,Shopping
BP,8.02,debit,Checking,Housing
Chick-Fil-A,185.88,credit,Silver Card,Utilities & Services
Shell,188.24,debit,Checking,Paycheck
Credit Card Payment,28.91,credit,Platinum Card,Food & Drink
Mediterranean Restaurant,133.11,debit,Platinum Card,Credit Card Payment
Credit Card Payment,160.62,credit,Silver Card,Food & Drink
State Farm,121.02,credit,Platinum Card,Utilities & Services
Gas Company,169.85,debit,Silver Card,Credit Card Payment
Credit Card Payment,174.83,credit,Silver Card,Shopping
Thai Restaurant,188.41,credit,Silver Card,Food & Drink
BP,27.24,credit,Checking,Food & Drink
Credit Card Payment,71.16,credit,Platinum Card,Food & Drink
City Water Charges,131.87,debit,Platinum Card,Paycheck
State Farm,44.87,debit,Silver Card,Food & Drink
Biweekly Paycheck,78.74,credit,Checking,Haircut
Belgian Restaurant,39.33,debit,Platinum Card,Transportation
Movie Theater,55.45,credit,Platinum Card,Credit Card Payment
Amazon,139.52,debit,Checking,Food & Drink
Barbershop,154.04,credit,Platinum Card,Utilities & Services
Brunch Restaurant,13.93,debit,Platinum Card,Food & Drink
Grocery Store,188.62,debit,Checking,Credit Card Payment
Credit Card Payment,66.38,credit,Platinum Card,Food & Drink
Phone Company,38.86,credit,Platinum Card,Shopping
City Water Charges,14.96,credit,Silver Card,Entertainment
Credit Card Payment,1.04,credit,Checking,Food & Drink
Grocery Store,16.99,credit,Platinum Card,Utilities & Services
Grocery Store,1.08,debit,Platinum Card,Food & Drink
Gas Company,138.29,debit,Silver Card,Entertainment
Netflix,85.14,credit,Checking,Transportation
Starbucks,8.04,credit,Platinum Card,Food & Drink
Grocery Store,183.09,debit,Platinum Card,Credit Card Payment
Best Buy,39.64,debit,Platinum Card,Food & Drink
Credit Card Payment,18.03,debit,Checking,Credit Card Payment
Credit Card Payment,12.1,debit,Platinum Card,Paycheck
Credit Card Payment,6.03,debit,Platinum Card,Credit Card Payment
Hardware Store,158.44,credit,Checking,Transportation
Shell,28.89,debit,Checking,Paycheck
Grocery Store,52.46,debit,Silver Card,Food & Drink
Barbershop,50.29,debit,Platinum Card,Entertainment
Biweekly Paycheck,177.54,debit,Platinum Card,Food & Drink
Hardware Store,66.75,debit,Silver Card,Housing
Biweekly Paycheck,154.33,debit,Platinum Card,Food & Drink
State Farm,64.19,credit,Platinum Card,Food & Drink
Gas Company,30.0,debit,Checking,Utilities & Services
Credit Card Payment,60.6,credit,Platinum Card,Food & Drink
Biweekly Paycheck,154.05,debit,Platinum Card,Credit Card Payment
Grocery Store,22.43,credit,Silver Card,Transportation
Grocery Store,182.69,credit,Platinum Card,Shopping
American Tavern,84.82,debit,Platinum Card,Food & Drink
QuikTrip,70.22,credit,Checking,Food & Drink
Brewing Company,54.29,credit,Platinum Card,Utilities & Services
Brewing Company,154.71,credit,Platinum Card,Transportation
Amazon,140.81,debit,Platinum Card,Utilities & Services
Amazon,180.44,credit,Checking,Paycheck
Credit Card Payment,125.96,credit,Checking,Housing
Brunch Restaurant,6.81,credit,Platinum Card,Shopping
Netflix,85.53,credit,Silver Card,Food & Drink
Brewing Company,136.07,debit,Platinum Card,Food & Drink
Starbucks,45.22,debit,Platinum Card,Food & Drink
Credit Card Payment,119.33,credit,Checking,Food & Drink
City Water Charges,35.0,debit,Checking,Utilities & Services
Amazon,194.2,debit,Platinum Card,Food & Drink
Credit Card Payment,145.92,credit,Platinum Card,Food & Drink
Grocery Store,39.86,debit,Checking,Transportation
Credit Card Payment,90.43,debit,Checking,Utilities & Services
Power Company,86.08,credit,Checking,Housing
Spotify,19.51,credit,Checking,Transportation
Grocery Store,167.81,credit,Platinum Card,Utilities & Services
Brunch Restaurant,57.87,debit,Platinum Card,Credit Card Payment
Mortgage Payment,8.69,credit,Checking,Entertainment
Credit Card Payment,128.47,credit,Platinum Card,Paycheck
Grocery Store,104.21,credit,Checking,Shopping
Credit Card Payment,53.88,credit,Silver Card,Food & Drink
Amazon,168.55,debit,Silver Card,Food & Drink
Thai Restaurant,16.75,debit,Platinum Card,Transportation
Brunch Restaurant,76.13,credit,Platinum Card,Food & Drink
Credit Card Payment,194.15,debit,Checking,Shopping
Shell,28.85,credit,Platinum Card,Shopping
Credit Card Payment,421.96,credit,Platinum Card,Credit Card Payment
Mortgage Payment,144.66,debit,Platinum Card,Food & Drink
Mortgage Payment,1247.44,debit,Checking,Housing
Starbucks,2.75,debit,Platinum Card,Food & Drink
Credit Card Payment,17.43,credit,Platinum Card,Credit Card Payment
Netflix,119.65,debit,Platinum Card,Transportation
Barbershop,46.58,credit,Platinum Card,Food & Drink
Phone Company,24.75,debit,Silver Card,Transportation
Credit Card Payment,96.11,debit,Platinum Card,Paycheck
Credit Card Payment,26.71,credit,Platinum Card,Food & Drink
Biweekly Paycheck,2000.0,credit,Checking,Paycheck
Chick-Fil-A,181.79,debit,Platinum Card,Utilities & Services
BP,157.54,credit,Checking,Shopping
BP,16.65,credit,Checking,Transportation
Biweekly Paycheck,28.39,debit,Platinum Card,Food & Drink
Grocery Store,51.05,debit,Platinum Card,Food & Drink
Biweekly Paycheck,126.4,credit,Silver Card,Haircut
Credit Card Payment,195.44,credit,Silver Card,Entertainment
Credit Card Payment,55.01,debit,Platinum Card,Entertainment
Hardware Store,81.02,debit,Checking,Food & Drink
Credit Card Payment,142.29,debit,Platinum Card,Credit Card Payment
Shell,85.27,credit,Platinum Card,Food & Drink
Credit Card Payment,816.27,credit,Platinum Card,Credit Card Payment
Credit Card Payment,96.36,credit,Checking,Food & Drink
Grocery Store,104.52,credit,Checking,Credit Card Payment
American Tavern,137.93,credit,Silver Card,Food & Drink
Japanese Restaurant,81.71,credit,Platinum Card,Food & Drink
Biweekly Paycheck,127.05,credit,Platinum Card,Food & Drink
State Farm,87.51,debit,Silver Card,Food & Drink
Power Company,138.81,credit,Silver Card,Entertainment
Credit Card Payment,66.36,credit,Checking,Food & Drink
Amazon,44.99,debit,Platinum Card,Shopping
Netflix,71.33,credit,Checking,Credit Card Payment
American Tavern,90.46,credit,Checking,Housing
Brunch Restaurant,8.49,debit,Platinum Card,Food & Drink
Grocery Store,91.36,credit,Platinum Card,Credit Card Payment
BP,7.88,debit,Silver Card,Food & Drink
Credit Card Payment,25.68,credit,Platinum Card,Utilities & Services
Credit Card Payment,158.16,credit,Checking,Utilities & Services
Credit Card Payment,99.62,credit,Platinum Card,Credit Card Payment
Brewing Company,174.37,debit,Silver Card,Food & Drink
Credit Card Payment,21.23,debit,Platinum Card,Shopping
Biweekly Paycheck,73.71,credit,Platinum Card,Credit Card Payment
Grocery Store,133.37,debit,Silver Card,Food & Drink
American Tavern,116.87,debit,Checking,Transportation
Phone Company,113.3,credit,Platinum Card,Utilities & Services
Credit Card Payment,47.98,credit,Checking,Food & Drink
Biweekly Paycheck,140.68,credit,Platinum Card,Food & Drink
Target,128.0,credit,Platinum Card,Credit Card Payment
Mexican Restaurant,132.36,debit,Platinum Card,Shopping
American Tavern,36.74,debit,Checking,Housing
Starbucks,48.36,credit,Silver Card,Food & Drink
Phone Company,172.51,credit,Platinum Card,Utilities & Services
Phone Company,60.34,debit,Checking,Shopping
Roadside Diner,78.32,debit,Platinum Card,Paycheck
Grocery Store,156.41,debit,Platinum Card,Credit Card Payment
Hardware Store,39.91,debit,Platinum Card,Credit Card Payment
Mike's Construction Co.,179.43,credit,Checking,Food & Drink
Internet Service Provider,63.32,debit,Platinum Card,Utilities & Services
Credit Card Payment,176.21,credit,Silver Card,Shopping
Grocery Store,18.88,debit,Platinum Card,Shopping
Credit Card Payment,80.4,debit,Platinum Card,Credit Card Payment
Credit Card Payment,134.72,debit,Checking,Food & Drink
BP,124.09,credit,Checking,Food & Drink
Grocery Store,192.74,debit,Platinum Card,Food & Drink
Grocery Store,70.22,debit,Platinum Card,Credit Card Payment
Circle K,60.53,debit,Platinum Card,Credit Card Payment
Grocery Store,124.93,debit,Platinum Card,Housing
Grocery Store,102.38,credit,Platinum Card,Utilities & Services
Roadside Diner,100.09,credit,Silver Card,Food & Drink
Grocery Store,157.85,credit,Silver Card,Entertainment
Internet Service Provider,144.81,debit,Platinum Card,Credit Card Payment
Credit Card Payment,143.84,credit,Silver Card,Credit Card Payment
QuikTrip,102.99,debit,Checking,Food & Drink
Movie Theater,128.85,credit,Platinum Card,Utilities & Services
Best Buy,174.45,debit,Platinum Card,Transportation
Mortgage Payment,109.33,credit,Platinum Card,Credit Card Payment
American Tavern,64.11,debit,Silver Card,Food & Drink
Brewing Company,66.97,debit,Platinum Card,Utilities & Services
Brunch Restaurant,91.08,debit,Platinum Card,Food & Drink
Internet Service Provider,178.88,debit,Platinum Card,Transportation
Starbucks,56.55,credit,Checking,Food & Drink
Amazon,91.16,debit,Checking,Food & Drink
BP,174.4,debit,Platinum Card,Food & Drink
Biweekly Paycheck,150.56,debit,Checking,Credit Card Payment
Brewing Company,173.12,debit,Checking,Credit Card Payment
Netflix,11.76,debit,Platinum Card,Entertainment
Chick-Fil-A,39.81,debit,Silver Card,Credit Card Payment
State Farm,37.5,credit,Platinum Card,Shopping
Credit Card Payment,207.47,credit,Platinum Card,Credit Card Payment
Movie Theater,17.0,debit,Silver Card,Entertainment
Credit Card Payment,188.37,debit,Silver Card,Food & Drink
Credit Card Payment,72.69,debit,Silver Card,Food & Drink
Chick-Fil-A,120.58,debit,Platinum Card,Food & Drink
Grocery Store,47.98,credit,Checking,Food & Drink
Biweekly Paycheck,185.23,debit,Checking,Credit Card Payment
Credit Card Payment,83.51,credit,Checking,Food & Drink
Brunch Restaurant,182.42,credit,Silver Card,Paycheck
Credit Card Payment,128.42,credit,Checking,Food & Drink
American Tavern,24.26,credit,Platinum Card,Shopping
Credit Card Payment,30.24,debit,Platinum Card,Shopping
Grocery Store,127.2,debit,Platinum Card,Food & Drink
Exxon,38.35,debit,Silver Card,Haircut
Brewing Company,125.47,debit,Silver Card,Entertainment
BP,30.88,debit,Silver Card,Food & Drink
Credit Card Payment,111.12,debit,Checking,Credit Card Payment
Credit Card Payment,62.76,credit,Checking,Utilities & Services
Grocery Store,106.08,debit,Checking,Food & Drink
